Transfer Out,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,ECR,Outbound Xfers
Transfer Out Invoice Potential,,,,,,,Transfer Out HC Review,,,,,,,,Transfer Out Capacity Review,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,,,,
Week,Period,PCS FCST,UPH ,CG ,UPH %,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,,,,
2026-02-14 00:00:00,FEB,7955,,,,,10.317,,,,0,,10.317,,19.28,,,0,412.68,,,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,17139,,,,,19.33175,,,,0.76425,,20.096,,21.32,,,0.038,803.84,,,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,14371,,,,,19.73875,,,,0.623,,20.36175,,17.64,,,0.0306,814.47,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,11125,,,,,14.675,,,,0.5655,,15.2405,,18.25,,,0.0371,609.62,,,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,10375,,,,,12.36775,,,,1.028,,13.39575,,19.36,,,0.0767,535.83,,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,9907,,,,,,,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,9212.416633779756,,,,,12,0,0,0,0,0.1563,10.1244,,16.89,10,40,,404.976,6840,45,455.59799999999996,7695,50,506.21999999999997,8550.0558,55,556.842,9405.06138,,,,,,,,
2026-04-04 00:00:00,APR,9765.792017987633,,,,,12,0,2,0,0,0.1563,10.1244,,16.89,10,40,,404.976,6840,45,455.59799999999996,7695,50,506.21999999999997,8550.0558,55,556.842,9405.06138,,,,,,,,
2026-04-11 00:00:00,APR,9271.868088605388,,,,,14,0,1,0,0,0.1563,11.8118,,16.89,10,40,,472.472,7980,45,531.531,8977,50,590.59,9975.065100000002,55,649.649,10972.57161,,,,,,,,
2026-04-18 00:00:00,APR,8814.360086767896,,,,,15,0,1,0,0,0.1563,12.6555,,16.89,10,40,,506.22,8550,45,569.4975,9618,50,632.775,10687.56975,55,696.0525,11756.326725,,,,,,,,
2026-04-25 00:00:00,APR,16167.712505631062,,,,,16,0,1,0,0,0.1563,13.4992,,16.89,10,40,,539.968,9120,45,607.464,10260,50,674.96,11400.074400000001,55,742.456,12540.08184,,,,,,,,
2026-05-02 00:00:00,MAY,13307.727843439248,,,,,17,0,1,0,0,0.1563,14.3429,,16.89,10,40,,573.716,9690,45,645.4305,10901,50,717.145,12112.57905,55,788.8595,13323.836955,,,,,,,,
2026-05-09 00:00:00,MAY,11113.855141517985,,,,,18,0,2,0,0,0.1563,15.1866,,16.89,10,40,,607.464,10260,45,683.397,11542,50,759.33,12825.083700000001,55,835.263,14107.59207,,,,,,,,
2026-05-16 00:00:00,MAY,13745.530832877996,,,,,20,0,2,0,0,0.1563,16.874,,16.89,10,40,,674.9599999999999,11400,45,759.3299999999999,12825,50,843.6999999999999,14250.092999999999,55,928.0699999999999,15675.102299999999,,,,,,,,
2026-05-23 00:00:00,MAY,13581.625652967463,,,,,22,0,2,0,0,0.1563,18.5614,,16.89,10,40,,742.4559999999999,12540,45,835.2629999999999,14107,50,928.0699999999999,15675.102299999999,55,1020.877,17242.61253,,,,,,,,
2026-05-30 00:00:00,MAY,12499.638457952538,,,,,24,0,0,0,0,0.1563,20.2488,,16.89,10,40,,809.952,13680,45,911.1959999999999,15390,50,1012.4399999999999,17100.1116,55,1113.684,18810.12276,,,,,,,,
2026-06-06 00:00:00,JUN,12234.868255188316,,,,,24,0,2,0,0,0.1563,20.2488,,16.89,10,40,,809.952,13680,45,911.1959999999999,15390,50,1012.4399999999999,17100.1116,55,1113.684,18810.12276,,,,,,,,
2026-06-13 00:00:00,JUN,13246.267363863062,,,,,26,0,1,0,0,0.1563,21.9362,,16.89,10,40,,877.448,14820,45,987.129,16672,50,1096.81,18525.120899999998,55,1206.491,20377.632990000002,,,,,,,,
2026-06-20 00:00:00,JUN,16963.639397017265,,,,,27,0,0,0,0,0.1563,22.7799,,17.03,10,40,,911.196,15517,45,1025.0955000000001,17457,50,1138.9950000000001,19397.084850000003,55,1252.8945,21336.793335000002,,,,,,,,
2026-06-27 00:00:00,JUN,18142.137064071372,,,,,27,0,0,0,0,0.1563,22.7799,,17.03,10,40,,911.196,15517,45,1025.0955000000001,17457,50,1138.9950000000001,19397.084850000003,55,1252.8945,21336.793335000002,,,,,,,,
2026-07-04 00:00:00,JUL,9581.076844262294,,,,,27,4,0,0,0,0.1563,22.7799,,17.03,10,40,,911.196,15517,45,1025.0955000000001,17457,50,1138.9950000000001,19397.084850000003,55,1252.8945,21336.793335000002,,,,,,,,
2026-07-11 00:00:00,JUL,9980.676433513543,,,,,23,3,0,0,0,0.1563,19.4051,,17.03,10,40,,776.2040000000001,13218,45,873.2295,14871,50,970.255,16523.44265,55,1067.2805,18175.786915000004,,,,,,,,
2026-07-18 00:00:00,JUL,11405.720042505243,,,,,20,0,0,0,0,0.1563,16.874,,17.03,10,40,,674.9599999999999,11494,45,759.3299999999999,12931,50,843.6999999999999,14368.211,55,928.0699999999999,15805.0321,,,,,,,,
2026-07-25 00:00:00,JUL,15623.799850298052,,,,,20,0,0,0,0,0.1563,16.874,,17.03,10,40,,674.9599999999999,11494,45,759.3299999999999,12931,50,843.6999999999999,14368.211,55,928.0699999999999,15805.0321,,,,,,,,
2026-08-01 00:00:00,AUG,15986.441820252205,,,,,20,0,0,0,0,0.1563,16.874,,17.03,10,40,,674.9599999999999,11494,45,759.3299999999999,12931,50,843.6999999999999,14368.211,55,928.0699999999999,15805.0321,,,,,,,,
2026-08-08 00:00:00,AUG,11697.0664935346,,,,,20,0,0,0,0,0.1563,16.874,,17.03,10,40,,674.9599999999999,11494,45,759.3299999999999,12931,50,843.6999999999999,14368.211,55,928.0699999999999,15805.0321,,,,,,,,
2026-08-15 00:00:00,AUG,13561.779731335273,,,,,20,0,0,0,0,0.1563,16.874,,17.17,10,40,,674.9599999999999,11589,45,759.3299999999999,13037,50,843.6999999999999,14486.329,55,928.0699999999999,15934.9619,,,,,,,,
2026-08-22 00:00:00,AUG,17324.186648842842,,,,,20,0,0,0,0,0.1563,16.874,,17.17,10,40,,674.9599999999999,11589,45,759.3299999999999,13037,50,843.6999999999999,14486.329,55,928.0699999999999,15934.9619,,,,,,,,
2026-08-29 00:00:00,AUG,13151.272141336249,,,,,20,0,0,0,0,0.1563,16.874,,17.17,10,40,,674.9599999999999,11589,45,759.3299999999999,13037,50,843.6999999999999,14486.329,55,928.0699999999999,15934.9619,,,,,,,,
2026-09-05 00:00:00,SEP,8886.383806600154,,,,,20,0,0,0,0,0.1563,16.874,,17.17,10,40,,674.9599999999999,11589,45,759.3299999999999,13037,50,843.6999999999999,14486.329,55,928.0699999999999,15934.9619,,,,,,,,
