Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB (Delta) Volume,Billable ,Ecomm
2026-03-07 00:00:00,51432,11963228.79,232.60283072795144,12271,2056672.18,167.6042848993562,63703.0,14019900.969999999,220.0822719495157,,2026-03-28 00:00:00,51242.0,33982.0,17260.0
2026-02-28 00:00:00,47814,11495146.28,240.41381771029404,13160,2218509.75,168.57976823708208,60974.0,13713656.03,224.90989651326794,,2026-04-04 00:00:00,55144.0,37423.0,17721.0
2026-02-21 00:00:00,44260,10698085.11,241.71001152281968,22377,4031963.45,180.18337802207625,66637.0,14730048.559999999,221.04909524738505,,2026-04-11 00:00:00,56935.0,41530.0,15405.0
2026-02-14 00:00:00,43674,10599226.88,242.68962952786558,13645,2230739.12,163.48399560278492,57319.0,12829966.0,223.8344353530243,,2026-04-18 00:00:00,50682.0,35770.0,14912.0
2026-02-07 00:00:00,46942,11296690.15,240.6520844872396,12939,2199621.89,169.9993732127676,59881.0,13496312.040000001,225.3855486715319,,2026-04-25 00:00:00,52893.0,38055.0,14838.0
2026-01-31 00:00:00,34643,8094955.97,233.66786854487196,10588,1743554.74,164.67271817151493,45231.0,9838510.709999999,217.51698414804005,,2026-05-02 00:00:00,54042.0,37291.0,16751.0
2026-01-24 00:00:00,44995,10659040.77,236.8938942104678,11884,2123365.24,178.67428811847864,56879.0,12782406.01,224.72979500342834,,2026-05-09 00:00:00,52173.0,34761.0,17412.0
2026-01-17 00:00:00,44329,10573153.3,238.51549324370052,12906,2350241.71,182.10458004029132,57235.0,12923395.010000002,225.7953177251682,,2026-05-16 00:00:00,49069.0,31733.0,17336.0
2026-01-10 00:00:00,43090,10381109.72,240.9169115804131,12892,2208075.99,171.27489838659636,55982.0,12589185.71,224.87917026901505,,2026-05-23 00:00:00,53891.0,32099.0,21792.0
2026-01-03 00:00:00,38835,9191804.37,236.68866666666665,15324,2854291.2,186.26280344557557,54159.0,12046095.57,222.42093779427242,,2026-05-30 00:00:00,59789.0,32362.0,27427.0
2025-12-27 00:00:00,39056,9227055.97,236.25194515567392,9508,1696561.89,178.43520088346654,48564.0,10923617.860000001,224.93241619306485,,2026-06-06 00:00:00,51826.0,36105.0,15721.0
2025-12-20 00:00:00,48003,11293062.58,235.25743349373997,11364,1799778.3,158.37542238648365,59367.0,13092840.88,220.54071925480488,,2026-06-13 00:00:00,59309.0,44456.0,14853.0
2025-12-13 00:00:00,59593,14665334.42,246.09156142499958,13409,2132935.85,159.06748079647997,73002.0,16798270.27,230.10698706884742,,2026-06-20 00:00:00,48902.0,33258.0,15644.0
2025-12-06 00:00:00,65645,16146757.56,245.970866935791,28125,5089834.47,180.97189226666666,93770.0,21236592.03,226.47533358216916,,2026-06-27 00:00:00,54390.0,34252.0,20138.0
2025-11-29 00:00:00,53987,12868204.16,238.35745938837127,27048,4734097.1,175.0257727003845,81035.0,17602301.259999998,217.21850138828898,,2026-07-04 00:00:00,59280.0,35482.0,23798.0
2025-11-22 00:00:00,64830,14874303.51,229.43550069412308,15975,2524286.65,158.014813771518,80805.0,17398590.16,215.31576214343173,,2026-07-11 00:00:00,61449.0,41192.0,20257.0
2025-11-15 00:00:00,56805,13551634.02,238.5641056245049,14141,2255665.68,159.51245880772223,70946.0,15807299.7,222.8074831562033,,2026-07-18 00:00:00,56308.0,50509.0,5799.0
2025-11-08 00:00:00,56701,13389721.4,236.14612440697695,12861,2062007.12,160.33023248580983,69562.0,15451728.52,222.12887093528076,,2026-07-25 00:00:00,53713.0,48790.0,4923.0
Total,884634,210968514.96,238.4811288736359,270417,46312202.33,171.26217038869598,1155051.0,257280717.29000002,222.74403233277147,,2026-08-01 00:00:00,56636.0,51530.0,5106.0
,,,,,,,,,,,2026-08-08 00:00:00,56294.0,51090.0,5204.0
% Billable Freight,0.7658830649036277,,,,,,,,,,2026-08-15 00:00:00,54707.0,49694.0,5013.0
% Ecomm Freight,0.23411693509637238,,,,,,,,,,2026-08-22 00:00:00,54944.0,49940.0,5004.0
Total ASP,222.74403233277147,,,,,,,,,,2026-08-29 00:00:00,58393.0,52268.0,6125.0
,,,,,,,,,,,2026-09-05 00:00:00,62584.0,54816.0,7768.0
,,,,,,,,,,,Grand Total,1382272.0,1041046.0,341226.0
Sum of Units_Gross,Column Labels,,,Ecomm,Shipping,,,,,,Grand Total,1262011.0,933572.0,328439.0
Row Labels,LPT Ecomm,LPT Shipping,Grand Total,%,%,,,,,,,,,
2024-10-12 00:00:00,10399,64659,76818,0.1353719180400427,0.8417167851284855,,,,,,,,,
2024-10-19 00:00:00,10601,57605,68206,0.15542620883793215,0.8445737911620679,,,,,,,,,
2024-10-26 00:00:00,9978,64854,74832,0.13333867864015395,0.8666613213598461,,,,,,,,,
2024-11-02 00:00:00,9533,56921,66454,0.14345261383814367,0.8565473861618563,,,,,,,,,
2024-11-09 00:00:00,10309,63729,74038,0.1392393095437478,0.8607606904562521,,,,,,,,,
2024-11-16 00:00:00,13531,66383,79914,0.16931951848236854,0.8306804815176314,,,,,,,,,
2024-11-23 00:00:00,17748,67167,84915,0.209009009009009,0.790990990990991,,,,,,,,,
2024-11-30 00:00:00,24638,51141,75779,0.32512965333403715,0.6748703466659629,,,,,,,,,
2024-12-07 00:00:00,23973,67616,91589,0.26174540610772035,0.7382545938922797,,,,,,,,,
2024-12-14 00:00:00,13462,63155,76617,0.17570513071511545,0.8242948692848846,,,,,,,,,
2024-12-21 00:00:00,11108,56110,67218,0.1652533547561665,0.8347466452438335,,,,,,,,,
2024-12-28 00:00:00,9330,34930,44260,0.21079981924988703,0.789200180750113,,,,,,,,,
2025-01-04 00:00:00,12385,42462,54847,0.22580998049118456,0.7741900195088154,,,,,,,,,
2025-01-11 00:00:00,9692,56962,66654,0.14540762744921534,0.8545923725507847,,,,,,,,,
2025-01-18 00:00:00,10900,53623,64523,0.1689320087410691,0.8310679912589309,,,,,,,,,
2025-01-25 00:00:00,8687,57523,66210,0.13120374565775564,0.8687962543422444,,,,,,,,,
2025-02-01 00:00:00,10060,57489,67549,0.14892892566877378,0.8510710743312262,,,,,,,,,
2025-02-08 00:00:00,12963,61328,74291,0.17448950747735256,0.8255104925226474,,,,,,,,,
2025-02-15 00:00:00,15202,60257,75459,0.20146039571157848,0.7985396042884215,,,,,,,,,
2025-02-22 00:00:00,26995,54221,81216,0.33238524428684,0.66761475571316,,,,,,,,,
2025-03-01 00:00:00,14914,60799,75713,0.19698070344590757,0.8030192965540924,,,,,,,,,
2025-03-08 00:00:00,13123,62208,75331,0.1742045107591828,0.8257954892408172,,,,,,,,,
2025-03-15 00:00:00,13305,57717,71022,0.18733631832389963,0.8126636816761004,,,,,,,,,
Grand Total,314596,1338859,1653455,0.19026583729221538,0.8097341627077846,,,,,,,,,
