RED HC Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,0,0.1,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,120 Day Horizon Forecast  ,Unnamed: 32,Unnamed: 33,Unnamed: 34,Haircut,Unnamed: 36,Unnamed: 37,Capacity- the next 8 weeks,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Week,Period,Dept HC,Terminations,Hiring Target,WC/LOA,Labor Share,Final HC,HC Need,,Definitions,,,,,,,,,60 DAY ,RED,,Current Hct,260,,,,,,,,Dept,The next 8 weeks from current,The 8 weeks following,,0.1,0.1,,,40 Hours,45 Hours,40-45 Avg,,Week,Period,PCS FCST,PCS FCST W Haircut
2026-02-14 00:00:00,FEB,189.60950000000003,0,0,0,3.4332499999999997,189.60950000000003,48.390499999999975,,"Dept HC: SUM of Direct Labor Associates (Shipping, Ecom, CG/UPH Rec, UPH-LC, Transfers)
Terminations: Forecasted Terminations Based Off Historical Data For Direct Labor Associates
Hires: Requested Hires for Direct Labor Associates
WC/LOA: Active Direct Labor Associates WC/LOA
Working HC: (Dept HC - (Terminations+ WC/LOA))  + Hires
HC Need: Current Week Working HC - Fiscal Week Working HC",,,,,,,,,Horizon Hiring Needs,72.38461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,190.79500000000002,0,0,0,6.51475,190.79500000000002,47.204999999999984,,,,,,,,,,,Net Hiring Needs,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,196.43374999999997,0,0,0,10.1875,196.43374999999997,41.566250000000025,,,,,,,,,,,Turnover Hiring Needs,63.38461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,195.2735,0,0,0,12.952,195.2735,42.72649999999999,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,198.2275,0,0,0,7.933000000000001,198.2275,39.77250000000001,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,0,0,0,0,0,0,238,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,260,1,2,23,0,238,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04 00:00:00,APR,261,0,4,23,0,242,-4,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11 00:00:00,APR,265,0,4,28,0,241,-3,,,,,,,,,,,0,0,,Target Hct,269,,,,,,,,Outbound,64210,62708,,57789.0,56437.200000000004,,,60391.125,67940.125,64165.625,,,OCT,68816.38142120001,
2026-04-18 00:00:00,APR,269,0,0,28,0,241,-3,,Department Updated 3/24,YTD Hired ,YTD Termed,,,,,,,0,0,,Delta,9,,,,,,,,Inbound,74205.875,69291.875,,,,,,,,,,,OCT,72178,64960.200000000004
2026-04-25 00:00:00,APR,269,0,0,28,0,241,-3,,RED WHS Ecomm Ship,3,4,,,,,,,0,0,,% to Goal,0.966542750929368,,,,,,,,,,,,,,,,,,,,2026-03-28 00:00:00,OCT,62504.410662,56253.9695958
2026-05-02 00:00:00,MAY,269,0,0,28,0,241,-3,,RED WHS Receiving,7,12,,,,,,,0,0,,,,,,,,,,,,,,,,,,Delta to LPF,-3818.875,3730.125,-44.375,,2026-04-04 00:00:00,NOV,71696.61420000001,64526.952780000014
2026-05-09 00:00:00,MAY,269,0,0,28,0,241,-3,,RED WHS Shipping,11,22,,,,,,,0,0,,,,,,,,,,,,,,,,,,Delta to haircut,2602.125,10151.125,6376.625,,2026-04-11 00:00:00,NOV,62147.83015200001,55933.04713680001
2026-05-16 00:00:00,MAY,269,0,0,28,0,241,-3,,RED WHS Transfers,1,3,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 00:00:00,NOV,75555.05209200001,67999.54688280002
2026-05-23 00:00:00,MAY,269,0,0,28,0,241,-3,,RED WHS UPH Receiving,1,9,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,2026-04-25 00:00:00,NOV,67750.967245,60975.87052050001
2026-05-30 00:00:00,MAY,269,0,0,28,0,241,-3,,TOTAL HIRE VS TO ,23,50,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,2026-05-02 00:00:00,DEC,61492.20755000001,55342.986795000004
2026-06-06 00:00:00,JUN,269,0,0,28,0,241,-3,,17.87,10,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,2026-05-09 00:00:00,DEC,66658.537609,59992.68384810001
2026-06-13 00:00:00,JUN,269,0,0,28,0,241,-3,,17.87,10,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,8 Week Avg,,67497.95243875001,60748.15719487501
2026-06-20 00:00:00,JUN,269,0,0,28,0,241,-3,,17.87,10,,,,,,,,0,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27 00:00:00,JUN,269,0,0,28,0,241,-3,,17.87,10,,,,,,,,0,0,10.0,,60 Day Horizon Hiring Target,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04 00:00:00,JUL,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,,,,Breakdown,,,,,,,,,,,,,,,,,,,,
2026-07-11 00:00:00,JUL,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,Wk,Week Ending,Hiring Target,Actual,Delta,Outbound,Inbound,Transfers,Notes,,,,,,,,,,,,,,,
2026-07-18 00:00:00,JUL,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,1,2026-03-28 00:00:00,2,,,2,0,0,,,,,,,,,,,,,,,,
2026-07-25 00:00:00,JUL,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,2,2026-04-04 00:00:00,4,,,4,0,0,,,,,,,,,,,,,,,,
2026-08-01 00:00:00,AUG,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,3,2026-04-11 00:00:00,4,,,4,0,0,,,,,,,,,,,,,,,,
2026-08-08 00:00:00,AUG,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,4,2026-04-18 00:00:00,0,,,0,0,0,,,,,,,,,,,,,,,,
2026-08-15 00:00:00,AUG,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,5,2026-04-25 00:00:00,0,,,0,0,0,,,,,,,,,,,,,,,,
2026-08-22 00:00:00,AUG,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,6,2026-05-02 00:00:00,0,,,0,0,0,,,,,,,,,,,,,,,,
2026-08-29 00:00:00,AUG,269,0,0,28,0,241,-3,,17.87,,,,,,,,,0,0,10.0,,7,2026-05-09 00:00:00,0,,,0,0,0,,,,,,,,,,,,,,,,
2026-09-05 00:00:00,SEP,269,0,0,28,0,241,-,,17.87,,,,,,,,,0,0,10.0,,8,2026-05-16 00:00:00,0,,,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,17.87,,,,,,,,,0,0,,,9,2026-05-23 00:00:00,0,,,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,, ,17.87,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,                                                                                                          ,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
