Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB Volume,Billable ,Ecomm
2026-03-07 00:00:00,86172,16331152.19,189.51808232372463,6544,1074035.12,164.12517114914428,92716.0,19601339.0,211.41269036627983,,2026-03-28 00:00:00,83175.0,75158.0,8017.0
2026-02-28 00:00:00,82410.998,16807782.98,203.95072730462505,8093,1446716.08,178.76140862473744,90503.998,19125291.0,211.31984688676403,,2026-04-04 00:00:00,90301.0,82030.0,8271.0
2026-02-21 00:00:00,77260,11713025.24,151.60529691949262,9972,1786816.91,179.18340453269153,87232.0,21992750.0,252.1179154438738,,2026-04-11 00:00:00,76001.0,68975.0,7026.0
2026-02-14 00:00:00,73903,14483307.8,195.97726479303952,7797,1389906.93,178.2617583686033,81700.0,18244001.0,223.3047858017136,,2026-04-18 00:00:00,74526.0,67844.0,6682.0
2026-02-07 00:00:00,76923,15888492.1,206.55060385060384,8143,1433610.45,176.05433501166647,85066.0,18909261.0,222.28929301953778,,2026-04-25 00:00:00,78116.0,71520.0,6596.0
2026-01-31 00:00:00,75165,10722085.53,142.6473163041309,6631,1058573.35,159.6400769114764,81796.0,17409936.0,212.84581153112623,,2026-05-02 00:00:00,81487.0,73948.0,7539.0
2026-01-24 00:00:00,70694.001,11476522.66,162.34082804282076,5917,929592.65,157.1053996957918,76611.001,12406115.31,161.9364731965844,,2026-05-09 00:00:00,78286.0,70424.0,7862.0
2026-01-17 00:00:00,76957,16385259.39,212.9144767857375,5827,891577.1,153.00791144671356,82784.0,17276836.490000002,208.69777360359492,,2026-05-16 00:00:00,72213.0,64418.0,7795.0
2026-01-10 00:00:00,76365.998,13553455.16,177.48023354582492,5672,869999.94,153.38503878702397,82037.998,14423455.1,175.81432326030188,,2026-05-23 00:00:00,80103.0,70462.0,9641.0
2026-01-03 00:00:00,61441,12505177.01,203.53146937712603,6850,1025329.94,149.683202919708,68291.0,13530506.95,198.1301628325841,,2026-05-30 00:00:00,81976.0,69828.0,12148.0
2025-12-27 00:00:00,55308.999,4489085.2,81.16373973790414,5488,826774.22,150.65127915451893,60796.999,5315859.42,87.43621408023773,,2026-06-06 00:00:00,73269.0,66118.0,7151.0
2025-12-20 00:00:00,90954,18965584.39,208.51842019042593,5945,941601.55,158.3854583683768,96899.0,19907185.94,205.44263552771443,,2026-06-13 00:00:00,74782.0,68044.0,6738.0
2025-12-13 00:00:00,89335.998,19423195.84,217.41734882728906,5537,901565.17,162.82556799711037,94872.998,20324761.01,214.23125060304304,,2026-06-20 00:00:00,86568.0,79624.0,6944.0
2025-12-06 00:00:00,91601,14517450.67,158.48572253578018,10633,1729357.83,162.64063105426504,102234.0,16246808.5,158.91786000743392,,2026-06-27 00:00:00,73946.0,64591.0,9355.0
2025-11-29 00:00:00,86700.997,16289388.8,187.88006324771558,11790,2111662.19,179.10620780322307,98490.997,18401050.990000002,186.82977683736922,,2026-07-04 00:00:00,90524.0,80325.0,10199.0
2025-11-22 00:00:00,100289,20634993.21,205.75529928506617,6535,1113819.85,170.43915072685542,106824.0,21748813.060000002,203.59482007788515,,2026-07-11 00:00:00,84132.0,75219.0,8913.0
2025-11-15 00:00:00,89017,18672288.84,209.76093150746487,6616,1060045.38,160.22451330108825,95633.0,19732334.22,206.3339456045507,,2026-07-18 00:00:00,84351.0,81142.0,3209.0
2025-11-08 00:00:00,90683,17308673.99,190.8701078482185,6840,1048666.99,153.31388742690058,97523.0,18357340.979999997,188.23601591419455,,2026-07-25 00:00:00,76926.0,74083.0,2843.0
Total,1451181.991,270166921,186.17025478233074,130830,21639651.65,165.40282542230375,1582011.991,312953645.97,197.8200214349703,,2026-08-01 00:00:00,86703.0,83742.0,2961.0
,,,,,,,,,,,2026-08-08 00:00:00,84012.0,80970.0,3042.0
% Billable Freight,0.9173015117810192,,,,,,,,,,2026-08-15 00:00:00,81264.0,78343.0,2921.0
% Ecomm Freight,0.08269848821898089,,,,,,,,,,2026-08-22 00:00:00,79639.0,76746.0,2893.0
Total ASP,197.8200214349703,,,,,,,,,,2026-08-29 00:00:00,80645.0,77011.0,3634.0
,,,,,,,,,,,2026-09-05 00:00:00,83697.0,79161.0,4536.0
,,,,,,,,,,,2026-09-12 00:00:00,82635.0,79583.0,3052.0
Sum of Units_Gross,Column Labels,,,Ecomm,Shipping,,,,,,Grand Total,1852945.0,1699709.2497470805,153235.75025291953
Row Labels,Arcadia Ecomm,Arcadia Shipping,Grand Total,%,%,,,,,,,,,
2024-10-12 00:00:00,4485,91557,96050,0.04669442998438313,0.9532222800624675,,,,,,,,,
2024-10-19 00:00:00,2665,91866,94531,0.028191810094043222,0.9718081899059567,,,,,,,,,
2024-10-26 00:00:00,2532,91725,94257,0.026862726375759892,0.9731372736242401,,,,,,,,,
2024-11-02 00:00:00,2090,98047,100137,0.02087140617354225,0.9791285938264578,,,,,,,,,
2024-11-09 00:00:00,2801,98314,101115,0.02770113237402957,0.9722988676259704,,,,,,,,,
2024-11-16 00:00:00,3973,105117,109090,0.036419470162251354,0.9635805298377487,,,,,,,,,
2024-11-23 00:00:00,5364,114089,119453,0.04490469054774681,0.9550953094522532,,,,,,,,,
2024-11-30 00:00:00,13683,86364,100047,0.13676572011154758,0.8632342798884525,,,,,,,,,
2024-12-07 00:00:00,12990,112747,125737,0.10331087905707946,0.8966891209429205,,,,,,,,,
2024-12-14 00:00:00,5424,95586,101010,0.0536976536976537,0.9463023463023463,,,,,,,,,
2024-12-21 00:00:00,4753,95454,100207,0.04743181614058898,0.952568183859411,,,,,,,,,
2024-12-28 00:00:00,3538,62613,66151,0.05348369639158894,0.9465163036084111,,,,,,,,,
2025-01-04 00:00:00,4464,77766,82230,0.05428675665815396,0.945713243341846,,,,,,,,,
2025-01-11 00:00:00,3776,88724,92500,0.040821621621621625,0.9591783783783784,,,,,,,,,
2025-01-18 00:00:00,3297,84878,88175,0.03739155089311029,0.9626084491068897,,,,,,,,,
2025-01-25 00:00:00,4030,87193,91223,0.044177455247031996,0.955822544752968,,,,,,,,,
2025-02-01 00:00:00,3543,85428,88971,0.03982196446032977,0.9601780355396702,,,,,,,,,
2025-02-08 00:00:00,3215,97037,100252,0.032069185652156565,0.9679308143478434,,,,,,,,,
2025-02-15 00:00:00,3582,89840,93422,0.038342146389501404,0.9616578536104986,,,,,,,,,
2025-02-22 00:00:00,5543,87922,93465,0.059305622425506875,0.9406943775744931,,,,,,,,,
2025-03-01 00:00:00,6150,83610,89760,0.06851604278074866,0.9314839572192514,,,,,,,,,
2025-03-08 00:00:00,5263,85050,90313,0.058275109895585354,0.9417248901044146,,,,,,,,,
2025-03-15 00:00:00,6037,93631,99668,0.06057109603884898,0.939428903961151,,,,,,,,,
Grand Total,113206,2104558,2217764,0.05104510669304759,0.9489548933069524,,,,,,,,,
